aap_1_1_source_confiance_autre,aap_1_1_source_confiance_autre_recoded,aap_3_canal_information_autre,aap_3_canal_information_autre_recoded,sante_5_deces_cause_autre,sante_5_deces_cause_autre_recoded,nfi_propr_abri_autre,nfi_propr_abri_autre_recoded
Radio,radio,La radio,radio,,,,
Chef de groupe et le président des jeune,chef_communaut�,La radio,radio,,,,
Chef du groupe et leaders religieux,autre,La radio,radio,,,,
Président jeuness,chef_communaut�,La radio,radio,,,,
A la radio(Bangui eT Ndeke Luka),radio,Radio,radio,,,,
Radio,radio,Radio,radio,,,,
Par télépho,autre,Radio,radio,,,,
Par.un.poste.radio,radio,Bouche à oreill,face_a_face,,,,
A la radio nationale,radio,Radio,radio,,,,
De bouche a l'oreille,autre,Radio plus télépho,autre,,,,
Journaliste,autre,Radio,radio,,,,
Journaliste,autre,Par la radio,radio,,,,
Journaliste,autre,Radio,radio,,,,
Journaliste,autre,Radio,radio,,,,
Journaliste,autre,Radio,radio,,,,
Upc,groupes_armes,Radio,radio,,,,
Radio FM,radio,Radiio et télépho,autre,,,,
Chef de groupe,chef_communaut�,Par la radio,radio,,,,
Voir le président du sit,chef_communaut�,Radio,radio,,,,
Radio,radio,Radio,radio,,,,
Radio,radio,Radio,radio,,,,
Télépho,autre,Radio,radio,,,,
Le chef du quartier,chef_communaut�,Radio,radio,,,,
Par la voix des ondes,radio,Radio,radio,,,,
La radio,radio,Radio,radio,,,,
Chef du village,chef_communaut�,Radio,radio,,,,
Chef du village,chef_communaut�,Radio,radio,,,,
Radio,radio,Radio,radio,,,,
Radio ,radio,Radio,radio,,,,
Radio,radio,Radio,radio,,,,
Plateforme,autre,Radio,radio,,,,
Radio,radio,Radio,radio,,,,
Radio,radio,Radio,radio,,,,
Radio,radio,Radio,radio,,,,
Radio régional,radio,La radio,radio,,,,
Radio,radio,Radio,radio,,,,
Radio,radio,Radio,radio,,,,
Radio,radio,Ras,radio,,,,
Par la radio,radio,Radio,radio,,,,
Télépho,autre,Radio,radio,,,,
Les agents de la mairie,fonctionnaires_gouvernement,Radio,radio,,,,
Président de la jeuness,chef_communaut�,Radio,radio,,,,
La radio,radio,Radio,radio,,,,
Journaliste,autre,La radio,radio,,,,
Réseau téléphoni,autre,Radio,radio,,,,
Aucune,autre,Radio,radio,,,,
Journaliste,autre,Par l'annonce a l'églis,face_a_face,,,,
Difficile d'avoir des informations mais grâce aux humanitaire qui commence à circuler dans la zo,autre,Radio,radio,,,,
Radio,radio,Radio,radio,,,,
Radio,radio,Radio,radio,,,,
Radio,radio,Radio,radio,,,,
Ont préfere la radio national,radio,Radio,radio,,,,
Leader communautaires,chef_communaut�,Radio,radio,,,,
Radio,radio,Radio,radio,,,,
De la part de cette nouvelle aide humanitaire Reach,autre,Radio,radio,,,,
Leaders communautaires,chef_communaut�,Radio,radio,,,,
Leaders communautaires,chef_communaut�,Par la radio,radio,,,,
Radio,radio,La radio,radio,,,,
Je suis veille tout le monde me respecte on vienne me consultée a la maison,autre,Poste radio,radio,,,,
Par la radio de nos voisins,radio,Poste radio,radio,,,,
Radio,radio,Poste radio,radio,,,,
Radio,radio,Radio,radio,,,,
Radio,radio,Radio,radio,,,,
Radio,radio,Radio,radio,,,,
Radio communautaire,radio,Les sécurités du si,autre,,,,
Par lettre,autre,Aide humanitaire,face_a_face,,,,
Par radio,radio,Aide humanitaire,face_a_face,,,,
Radio FM,radio,Radio,radio,,,,
Par télépho,autre,Radio,radio,,,,
Par radio FM,radio,Radio,radio,,,,
Télépho,autre,Radio,radio,,,,
Par lettre,autre,Communauté local,face_a_face,,,,
Par lettre,autre,Bouche à oreill,face_a_face,,,,
Par lettre,autre,Communauté local,face_a_face,,,,
Par lettre,autre,Radio,radio,,,,
Par lettre,autre,Radio,radio,,,,
Radio FM,radio,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Bouche a l' oreille,face_a_face,,,,
,,Bouche à l' oreill,face_a_face,,,,
,,Poste radio,radio,,,,
,,La radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio diffusion,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,La radio,radio,,,,
,,Par les agents ong,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radios,radio,,,,
,,"Radio,etc...",radio,,,,
,,Vers mes parents quand il viennent de la ville,face_a_face,,,,
,,Diffusion a la radio locale,radio,,,,
,,Diffusion à la radio local,radio,,,,
,,Chef de group,face_a_face,,,,
,,Radio locale,radio,,,,
,,Radio Siri et ndekelouka,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio,radio,,,,
,,Radio locale,radio,,,,
,,Chef de village,face_a_face,,,,
,,Radio locale,radio,,,,
,,Radio,radio,,,,
,,Sensibilisation des acteurs humanitaire,face_a_face,,,,
,,Informations sur les entene radios,radio,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio et le crielleur du chef,autre,,,,
,,Radio ,radio,,,,
,,Radio,radio,,,,
,,Radio(ndekelouka),radio,,,,
,,Radio(Siri Ndekelouka Gira),radio,,,,
,,Radio locale,radio,,,,
,,Radio etc...,radio,,,,
,,Radio locale,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,� la radio,radio,,,,
,,Avec la radio,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Chef quartier,face_a_face,,,,
,,Par le chef de quartier où à l'église par le paste,face_a_face,,,,
,,Chef de quartier,face_a_face,,,,
,,Chef de quartier ou les humanitaires,face_a_face,,,,
,,Par le chef du quartier,face_a_face,,,,
,,� travers le chef du quartier,face_a_face,,,,
,,� travers le chef du quartier,face_a_face,,,,
,,Chef de quartier ,face_a_face,,,,
,,Avec,autre,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Par la radio,radio,,,,
,,La radio,radio,,,,
,,La radio,radio,,,,
,,Post radio,radio,,,,
,,La radio,radio,,,,
,,Par la radio,radio,,,,
,,Poste radio,radio,,,,
,,Radio,radio,,,,
,,Poste radio ,radio,,,,
,,Poste radio,radio,,,,
,,Posté radi,radio,,,,
,,Chef communaut�,face_a_face,,,,
,,Par radio,radio,,,,
,,La radio,radio,,,,
,,Information par poste radio,radio,,,,
,,Poste radio,radio,,,,
,,La famille,face_a_face,,,,
,,Sur un poste radio,radio,,,,
,,Réunion chez le che,face_a_face,,,,
,,Par la radio,radio,,,,
,,Par la radio,radio,,,,
,,Par le chef de groupe,face_a_face,,,,
,,Par le chef de groupe,face_a_face,,,,
,,Par sultan ou soit par chef de quartier,face_a_face,,,,
,,Chef de quartier,face_a_face,,,,
,,Chef,face_a_face,,,,
,,Chef de quartier,face_a_face,,,,
,,Chef de quartier,face_a_face,,,,
,,Chef de quartier,face_a_face,,,,
,,Chef,face_a_face,,,,
,,Chef de quartier,face_a_face,,,,
,,Chef de quartier,face_a_face,,,,
,,Radio,radio,,,,
,,A travers l'autorité administrativ,face_a_face,,,,
,,Par le sous préfe,face_a_face,,,,
,,A travers le chef du quartier,face_a_face,,,,
,,Par la sensibilisation,face_a_face,,,,
,,A travers la radio,radio,,,,
,,Bouche à oreill,face_a_face,,,,
,,Bouche à oreill,face_a_face,,,,
,,Bouche à oreill,face_a_face,,,,
,,Bouche à oreill,face_a_face,,,,
,,Poste radio,radio,,,,
,,Poste radio,radio,,,,
,,Bouche a bouche,face_a_face,,,,
,,Poste radio,radio,,,,
,,De la part des ongs.,face_a_face,,,,
,,Poste radio,radio,,,,
,,Radio,radio,,,,
,,Poste radio,radio,,,,
,,Radio,radio,,,,
,,Poste radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Bouche à l' oreill,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,A travers les amis,face_a_face,,,,
,,Par les autorité,face_a_face,,,,
,,Radio,radio,,,,
,,A travers les parents,face_a_face,,,,
,,Les différentes radios en RC,radio,,,,
,,Nous voulons une antenne téléphoniq,autre,,,,
,,Antenne téléphoniq,appel,,,,
,,Nous voulons une antenne téléphonique et les radi,autre,,,,
,,Radio,radio,,,,
,,"Grande sensibilisation, pendant la réunion hebdomadair",face_a_face,,,,
,,Radio,radio,,,,
,,Sensibilisation,face_a_face,,,,
,,Poste radio,radio,,,,
,,Radio,radio,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Poste radio,radio,,,,
,,Par le chef de village,face_a_face,,,,
,,De la part de chef de village,face_a_face,,,,
,,Je merci à tous les aide,autre,,,,
,,Informations par la radio,radio,,,,
,,Par radio,radio,,,,
,,Par la radio,radio,,,,
,,Communication directe,face_a_face,,,,
,,Par le chef de village,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,RADIO,radio,,,,
,,Sensibilisation,face_a_face,,,,
,,Les rumeurs,autre,,,,
,,Auprès des ami,face_a_face,,,,
,,Par la sensibilité de mass,face_a_face,,,,
,,Sensibilisation,face_a_face,,,,
,,Sensibilisation,face_a_face,,,,
,,Par les passants et les responsables communautaire,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,A travers le chef du quartier,face_a_face,,,,
,,Chez Madame le mère,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Chef de groupe,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,De la part des ongs,face_a_face,,,,
,,Bouche a l' oreille,face_a_face,,,,
,,Les nouvelles de la sécurité dans notre zone et les nourriture auss,face_a_face,,,,
,,De la part des autorités de notre pay,face_a_face,,,,
,,Nous avons bésoin de la sécurité de la part de nos arm,autre,,,,
,,Bouche à l' oreill,face_a_face,,,,
,,De la part de chef de la communauté,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Poste radio,radio,,,,
,,Poste radio,radio,,,,
,,Poste radio,radio,,,,
,,Poste radio,radio,,,,
,,Poste radio,radio,,,,
,,Poste radio,radio,,,,
,,Aucun,autre,,,,
,,Chef de groupe,face_a_face,,,,
,,Chef du village _ pasteur,face_a_face,,,,
,,Radio et le chef du village,autre,,,,
,,Radio et aussi le chef du villages,autre,,,,
,,� la radio,radio,,,,
,,� la radio,radio,,,,
,,Chez le chef,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Par la radio,radio,,,,
,,� la place du village,face_a_face,,,,
,,Par le chef du village,face_a_face,,,,
,,A travers la sensibilisation,face_a_face,,,,
,,La radio,radio,,,,
,,Radio nationale,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,A la radio ,radio,,,,
,,A la radio,radio,,,,
,,Radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,Radio,radio,,,,
,,A la radio,radio,,,,
,,Radio,radio,,,,
,,A la radio,radio,,,,
,,Radio,radio,,,,
,,A la radio,radio,,,,
,,La radio,radio,,,,
,,Auprès des gen,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,La radio,radio,,,,
,,A la radio,radio,,,,
,,Radio,radio,,,,
,,A la radio,radio,,,,
,,Radio,radio,,,,
,,Radio ,radio,,,,
,,Radio ,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,A la radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Par la radio,radio,,,,
,,Radio,radio,,,,
,,Chez le chef,face_a_face,,,,
,,Chez le chef du village,face_a_face,,,,
,,Chez le chef,face_a_face,,,,
,,"Chez le chef
",face_a_face,,,,
,,Radio,radio,,,,
,,Par la radio,radio,,,,
,,Les passants,face_a_face,,,,
,,Les passants,face_a_face,,,,
,,Radio locale ou guitare fm,radio,,,,
,,Les passants,face_a_face,,,,
,,Guitare FM et a travers les passants,face_a_face,,,,
,,Les passants,face_a_face,,,,
,,Radio,radio,,,,
,,Radio et les voisins,autre,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Le chef du quartier,face_a_face,,,,
,,Les autorité,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Les autorité,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Les autorités locale,face_a_face,,,,
,,Les autorités locale,face_a_face,,,,
,,Les autorité,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Par lettre,autre,,,,
,,Par lettre,autre,,,,
,,Par lettre,autre,,,,
,,Radio,autre,,,,
,,Radio,autre,,,,
,,Radio,autre,,,,
,,Radio,autre,,,,
,,Lettre,autre,,,,
,,Par les amis,face_a_face,,,,
,,Chez le chef,face_a_face,,,,
,,Chez le chef,face_a_face,,,,
,,Chez le chef,face_a_face,,,,
,,Chez le chef,face_a_face,,,,
,,Par des amis,face_a_face,,,,
,,Au domicile du chef,face_a_face,,,,
,,Radio et chez le chef,autre,,,,
,,Chez le chef et par des parents ,face_a_face,,,,
,,Radio et par le chef,autre,,,,
,,Par des amis,face_a_face,,,,
,,Radio,radio,,,,
,,Domicile du chef de village,face_a_face,,,,
,,Chez le chef,face_a_face,,,,
,,Radio et pendant la réunion chez le che,autre,,,,
,,Chez le chef,face_a_face,,,,
,,Radio,radio,,,,
,,Lettres,autre,,,,
,,Chef de Quartier,face_a_face,,,,
,,Chef de Quartier,face_a_face,,,,
,,Le chef de Quartier,face_a_face,,,,
,,Le chef de Quartier,face_a_face,,,,
,,Le chef de Quartier,face_a_face,,,,
,,Le chef quartier,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Les autorités locale,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Leader communautaire,face_a_face,,,,
,,R   a.  S,autre,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Le chef du quartier,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,"Radio(RFI,siriri)",radio,,,,
,,"Radio(siriri,rfi)",radio,,,,
,,Radio,radio,,,,
,,"Radio(siriri, maïgaro,ndekelouka,guitare,",radio,,,,
,,Radio,radio,,,,
,,Radios,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Par la radio...,radio,,,,
,,"L'insécurité",autre,,,,
,,Siffle,autre,,,,
,,Siffle,autre,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio,radio,,,,
,,Chef du village et les leaders religieux du village...,face_a_face,,,,
,,Radios,radio,,,,
,,Radios,radio,,,,
,,Radios,radio,,,,
,,Radios,radio,,,,
,,Radios,radio,,,,
,,Radios,radio,,,,
,,Radios,radio,,,,
,,Radios,radio,,,,
,,Face à face aux passant,face_a_face,,,,
,,Radio siriri,radio,,,,
,,Par son agent,face_a_face,,,,
,,Verbal,face_a_face,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Chef de quartier,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Par la Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radios,radio,,,,
,,Radios,radio,,,,
,,Radio locale,radio,,,,
,,Capita,autre,,,,
,,Par la Radio locale...,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Diffusion radio,radio,,,,
,,Via radio,radio,,,,
,,Radio communautaire,radio,,,,
,,Par nos voisins,face_a_face,,,,
,,Pendant la réunion de sécuri,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Les amis,face_a_face,,,,
,,Par des amis,face_a_face,,,,
,,Par une Sensibilisation de masse dans les site.,face_a_face,,,,
,,Radio Communautaire,radio,,,,
,,Radio communautaire ou une Sensibilisation de Masse dans les quartiers et les sites.,autre,,,,
,,"Sensibilisation,Radio communautaire, comité de suivi, chargée des informations ect..",autre,,,,
,,Sensibilisée nous d'avec les infos qui ns concerne nous dans les quartiers,face_a_face,,,,
,,La radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Manque De. Moyens,autre,,,,
,,Maque de reseau,autre,,,,
,,Manque  De. entaine,autre,,,,
,,Manque de Entaine,autre,,,,
,,Manque De. Entaine,autre,,,,
,,Manque de Reseau,autre,,,,
,,Pas  De Reseau,autre,,,,
,,Pas De.  Reseau,autre,,,,
,,Pas De Reseau,autre,,,,
,,Déplacemen,autre,,,,
,,Si je sors hors du village,autre,,,,
,,Radio,radio,,,,
,,Crieur,autre,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Par le chef du village,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Pas De Reseau,autre,,,,
,,Pas De Reseau,autre,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Réunio,face_a_face,,,,
,,Par le chef de village,face_a_face,,,,
,,Communication directe,face_a_face,,,,
,,Bouche à l'oreill,face_a_face,,,,
,,Par le chef du village,face_a_face,,,,
,,Par le chef de village,face_a_face,,,,
,,Par le chef de village,face_a_face,,,,
,,Par le chef de village,face_a_face,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Par lettre,autre,,,,
,,Par lettre,autre,,,,
,,Les passants et la radio,autre,,,,
,,Radio et les passants,autre,,,,
,,"Radio Centrafrique,ndeke Luka,guitare FM et les passants",radio,,,,
,,Radio,radio,,,,
